uen,pid,price,stock
201936456R,ElhgI8oFkTQk5icolwRT,43.88,310
201936456R,yb9qPoWFBmzserZ32ble,19.06,428
201936456R,TyQF8MsQwfeotHQy1SvM,15.58,481
201936456R,iZ6T24te09PdpjeyxSCJ,45.8,268
201936456R,RzPyLg0mb9UlmyfyB27o,28.98,271
201936456R,g1gU8QhvYgtMVBO3VR05,49.48,275
201936456R,ytlIBiVuX29E4qNIimtR,7.05,272
201936456R,VMOkiEc6NS7yd5A2K0xy,18.83,196
201936456R,6MET6C1x5TqSMieN3wP7,10.0,66
201936456R,nQ3sX7s1X5YLUo3Rjw8X,9.8,454
200915506H,jPpLjlmO1v5Pyo2t0HLM,22.83,480
200915506H,7aG5QKkspv0DsWGNZ9AL,49.32,417
200915506H,iZ6T24te09PdpjeyxSCJ,45.24,285
200915506H,RzPyLg0mb9UlmyfyB27o,1.22,247
200915506H,VMOkiEc6NS7yd5A2K0xy,26.48,236
200915506H,yb9qPoWFBmzserZ32ble,12.77,189
200915506H,ElhgI8oFkTQk5icolwRT,4.92,325
200915506H,171mIvH4xbI8MB4B5JTu,1.13,217
200915506H,hYRChf7pmj36l1IGbQAW,33.01,228
200915506H,1TQ6aGk9rL4JGazafpoN,48.99,487
53474231M,1v4nlVqI4xI7BjZfByVA,44.08,150
53474231M,RzPyLg0mb9UlmyfyB27o,35.9,120
53474231M,5vtA1JypqGNi4dx75x78,10.62,462
53474231M,TyQF8MsQwfeotHQy1SvM,34.71,269
53474231M,yb9qPoWFBmzserZ32ble,3.89,406
53474231M,hYRChf7pmj36l1IGbQAW,47.62,226
53474231M,ElhgI8oFkTQk5icolwRT,32.27,197
53474231M,TNfUwGdEy9SV81iblkic,42.24,482
53474231M,6MET6C1x5TqSMieN3wP7,30.46,142
53474231M,7aG5QKkspv0DsWGNZ9AL,46.88,202
199206471G,1TQ6aGk9rL4JGazafpoN,43.83,240
199206471G,171mIvH4xbI8MB4B5JTu,22.83,73
199206471G,TNfUwGdEy9SV81iblkic,49.66,328
199206471G,ElhgI8oFkTQk5icolwRT,4.04,453
199206471G,yb9qPoWFBmzserZ32ble,44.38,200
199206471G,iZ6T24te09PdpjeyxSCJ,35.73,148
199206471G,1v4nlVqI4xI7BjZfByVA,25.83,273
199206471G,6MET6C1x5TqSMieN3wP7,29.08,171
199206471G,HV3CbWAkFhCg6ttw6jRJ,26.24,368
199206471G,5vtA1JypqGNi4dx75x78,7.09,194
199203796C,HV3CbWAkFhCg6ttw6jRJ,16.2,334
199203796C,171mIvH4xbI8MB4B5JTu,26.7,71
199203796C,yb9qPoWFBmzserZ32ble,21.92,139
199203796C,VMOkiEc6NS7yd5A2K0xy,21.22,425
199203796C,g1gU8QhvYgtMVBO3VR05,19.87,456
199203796C,5vtA1JypqGNi4dx75x78,14.29,472
199203796C,HFp1s4Vx3L1AzdZTyeHn,37.86,59
199203796C,iZ6T24te09PdpjeyxSCJ,5.58,289
199203796C,6MET6C1x5TqSMieN3wP7,47.29,198
199203796C,TyQF8MsQwfeotHQy1SvM,0.68,158
